YEAR,MO,DY,T2M,T2MDEW,T2MWET,T2M_MAX,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,GWETTOP,GWETROOT,GWETPROF
1981,6,19,23.3,18.69,21,28.45,24.04,14.83,77.25,0.25,91.3,8.25,261.06,10.62,261.44,-999,-999,-999,0.53,0.55,0.56
1981,6,20,23.66,19.51,21.58,28.65,24.33,15.62,79.19,2.99,91.13,7.97,272.38,10.2,272.88,-999,-999,-999,0.55,0.55,0.56
1981,6,21,23.88,19.1,21.49,29.02,24.81,15.26,76.62,0.29,91.1,6.98,276.38,8.85,276.81,-999,-999,-999,0.54,0.56,0.56
1981,6,22,23.06,19.11,21.08,27.29,23.81,15.26,79.88,4.88,91.13,6.09,272.12,7.8,272.81,-999,-999,-999,0.55,0.56,0.56
1981,6,23,22.93,19.44,21.19,26.57,23.4,15.5,81.88,0.39,91.26,6.5,260.81,8.43,261.44,-999,-999,-999,0.55,0.56,0.56
1981,6,24,23.35,18.28,20.82,29.4,24.5,14.4,75.25,0.52,91.35,7.29,256.19,9.14,256.56,-999,-999,-999,0.53,0.56,0.56
1981,6,25,22.58,18.49,20.54,27.13,23.48,14.59,79.06,0.12,91.42,5.59,252.25,6.97,252.69,-999,-999,-999,0.53,0.55,0.56
1981,6,26,22.44,18.38,20.41,25.9,23.24,14.53,79.12,0.46,91.38,5.02,263.88,6.48,264.12,-999,-999,-999,0.53,0.55,0.55
1981,6,27,21.13,17.12,19.12,26.06,21.83,13.37,79.31,0.99,91.49,5.25,254.06,6.65,254.44,-999,-999,-999,0.54,0.55,0.55
1981,6,28,22.69,16.51,19.6,29.78,24.24,12.88,71.25,0.01,91.63,5.03,259.75,6.24,260.12,-999,-999,-999,0.52,0.55,0.55
1981,6,29,23.08,17.55,20.31,28.87,24.41,13.73,73.06,0.06,91.7,4.98,262.06,6.4,262.38,-999,-999,-999,0.52,0.55,0.55
1981,6,30,22.83,18.35,20.59,29.08,23.51,14.47,78,24.12,91.57,5.51,262.19,7.38,262.62,-999,-999,-999,0.63,0.57,0.56
1981,7,1,23.16,17.79,20.48,29.78,24.2,13.98,74.81,0.49,91.56,5.99,260.81,7.78,261.25,-999,-999,-999,0.58,0.59,0.58
1981,7,2,22.48,18.09,20.29,27.04,23.11,14.22,78.19,0.01,91.58,5.36,262.19,7.24,262.56,-999,-999,-999,0.55,0.58,0.57
1981,7,3,23.05,18.66,20.86,29.06,23.94,14.71,78.31,0,91.61,4.66,261.44,6.38,262,-999,-999,-999,0.55,0.57,0.57
1981,7,4,24.02,18.16,21.09,30.05,25.23,14.28,72.81,0.01,91.5,6.5,261.62,8.45,262.25,-999,-999,-999,0.54,0.57,0.57
1981,7,5,23.19,17.95,20.58,28.86,24.22,14.1,74.81,0.85,91.48,7.52,258.5,9.55,258.88,-999,-999,-999,0.54,0.56,0.56
1981,7,6,22.74,18.73,20.74,27.26,23.35,14.83,79.62,1.36,91.47,8.13,265.56,10.41,266,-999,-999,-999,0.55,0.56,0.56
1981,7,7,23.75,18.56,21.15,29.73,24.73,14.71,75.69,0.71,91.43,7.47,266.81,9.66,267.31,-999,-999,-999,0.54,0.56,0.56
1981,7,8,23.91,19.05,21.48,29.51,24.91,15.14,76.81,2.97,91.38,7.06,255.75,9.17,256.44,-999,-999,-999,0.55,0.56,0.56
1981,7,9,23.69,18.91,21.3,27.9,24.21,15.01,76.56,0.08,91.34,7.31,261.31,9.59,261.88,-999,-999,-999,0.54,0.56,0.56
1981,7,10,24.33,18.87,21.6,30.12,25.52,14.95,74.19,0.05,91.33,7.21,258.12,9.25,258.69,-999,-999,-999,0.52,0.55,0.56
1981,7,11,23.89,19.36,21.62,28.94,24.82,15.44,77.81,0.88,91.39,6.36,259.12,8.2,259.56,-999,-999,-999,0.53,0.55,0.55
1981,7,12,22.84,18.98,20.9,26.15,23.48,15.08,80.19,0.07,91.47,5.88,257.75,7.58,258.19,-999,-999,-999,0.53,0.55,0.55
1981,7,13,23.04,18.43,20.73,27.83,24.03,14.53,77.19,0.44,91.52,4.98,265.5,6.48,266.06,-999,-999,-999,0.52,0.55,0.55
1981,7,14,23.76,18,20.87,29.71,25.18,14.16,72.88,0.1,91.47,4.95,268.25,6.39,268.88,-999,-999,-999,0.52,0.55,0.55
